passage_id,neighbor_id,rank,similarity
p0038,p0410,1,0.863742
p0038,p1542,2,0.858732
p0038,p0600,3,0.857875
p0038,p0769,4,0.855343
p0038,p1374,5,0.853731
p0039,p0076,1,0.855102
p0039,p0764,2,0.824374
p0039,p1308,3,0.819447
p0039,p0709,4,0.813985
p0039,p0501,5,0.810032
p0040,p0536,1,0.859463
p0040,p0888,2,0.848942
p0040,p1509,3,0.847758
p0040,p1043,4,0.846823
p0040,p1399,5,0.845282
p0041,p0961,1,0.890002
p0041,p1399,2,0.888448
p0041,p1230,3,0.886820
p0041,p1043,4,0.886605
p0041,p1509,5,0.886158
p0042,p1696,1,0.866227
p0042,p1691,2,0.855306
p0042,p1548,3,0.853029
p0042,p0960,4,0.848169
p0042,p1436,5,0.846664
p0043,p0044,1,0.850558
p0043,p0960,2,0.841528
p0043,p0040,3,0.838523
p0043,p0042,4,0.833540
p0043,p1397,5,0.827130
p0044,p0045,1,0.880489
p0044,p0043,2,0.850558
p0044,p0142,3,0.832302
p0044,p0960,4,0.832191
p0044,p0097,5,0.831405
p0045,p0044,1,0.880489
p0045,p0142,2,0.869068
p0045,p1566,3,0.849781
p0045,p0692,4,0.833843
p0045,p1695,5,0.833065
p0046,p0077,1,0.883931
p0046,p0078,2,0.872241
p0046,p0051,3,0.871060
p0046,p0960,4,0.870146
p0046,p1397,5,0.858092
p0047,p0046,1,0.810453
p0047,p0408,2,0.809309
p0047,p0051,3,0.807753
p0047,p0034,4,0.802156
p0047,p0400,5,0.800857
p0048,p0404,1,0.795445
p0048,p1704,2,0.780834
p0048,p1661,3,0.780176
p0048,p1707,4,0.776794
p0048,p0397,5,0.760164
p0049,p0051,1,0.886882
p0049,p0096,2,0.878263
p0049,p0415,3,0.866544
p0049,p0077,4,0.854663
p0049,p0073,5,0.844103
p0050,p0385,1,0.781114
p0050,p0094,2,0.772396
p0050,p0266,3,0.762576
p0050,p0163,4,0.754027
p0050,p0076,5,0.747466
p0051,p0073,1,0.934490
p0051,p0077,2,0.920114
p0051,p0059,3,0.908862
p0051,p1043,4,0.893787
p0051,p0888,5,0.893601
p0052,p0053,1,0.876363
p0052,p0075,2,0.832482
p0052,p0090,3,0.823626
p0052,p0088,4,0.822661
p0052,p0073,5,0.789653
p0053,p0073,1,0.880733
p0053,p0052,2,0.876363
p0053,p0075,3,0.872774
p0053,p0090,4,0.862541
p0053,p0088,5,0.859477
p0054,p0084,1,0.938312
p0054,p0086,2,0.916264
p0054,p0092,3,0.856734
p0054,p0087,4,0.840791
p0054,p0036,5,0.831284
p0055,p0874,1,0.794054
p0055,p0157,2,0.782541
p0055,p0087,3,0.777905
p0055,p0877,4,0.768161
p0055,p0103,5,0.761694
p0056,p1308,1,0.850526
p0056,p0059,2,0.845906
p0056,p0051,3,0.844718
p0056,p1696,4,0.819682
p0056,p1691,5,0.819245
p0057,p1277,1,0.822242
p0057,p1429,2,0.820106
p0057,p1504,3,0.816613
p0057,p1542,4,0.815666
p0057,p1659,5,0.811825
p0058,p0841,1,0.835336
p0058,p0074,2,0.831971
p0058,p0059,3,0.819283
p0058,p0073,4,0.817929
p0058,p0051,5,0.816546
p0059,p0051,1,0.908862
p0059,p0077,2,0.895150
p0059,p0073,3,0.888243
p0059,p0237,4,0.876931
p0059,p0406,5,0.869553
p0060,p0413,1,0.801399
p0060,p0215,2,0.798062
p0060,p0436,3,0.796956
p0060,p0064,4,0.796510
p0060,p0059,5,0.796115
p0061,p0444,1,0.823972
p0061,p0064,2,0.805369
p0061,p0443,3,0.802355
p0061,p0230,4,0.794591
p0061,p0281,5,0.785111
p0062,p0194,1,0.747787
p0062,p0211,2,0.731869
p0062,p0060,3,0.721820
p0062,p0151,4,0.715571
p0062,p0061,5,0.697027
p0063,p0051,1,0.869206
p0063,p0073,2,0.849732
p0063,p0059,3,0.848526
p0063,p0502,4,0.840369
p0063,p0076,5,0.834576
p0064,p0304,1,0.870377
p0064,p0093,2,0.861550
p0064,p0094,3,0.852922
p0064,p0153,4,0.833380
p0064,p0281,5,0.832396
p0065,p0491,1,0.796218
p0065,p0889,2,0.779323
