cluster,cluster_name,passage_count,top_terms
0,Course Requirements and Subject Codes,162,polsci; pubpol; hist; mediart; math; introduction; envir; following
1,"Academic Rules, Credits, and Enrollment",339,credits; term; credit; grade; academic; classes; undergraduate; who
2,"China, Globalization, and Economics",155,china; american; world; economic; trade; asia; global; development
3,"Data, Computation, and Materials",193,prerequisite; math; systems; include; topics; data; properties; materials
4,"Language, Learning, and Communication",268,language; chinese; skills; learn; writing; learning; academic; major
5,"Health, Research, and Academic Programs",178,health; global; research; science; social; programs; dukekunshan; edu
6,"Culture, Media, and Humanities",184,media; cultural; art; texts; literature; political; how; culture
7,Big Questions and Civic Inquiry,75,what; how; world; does; questions; human; political; you
8,"Society, Behavior, and Environment",184,how; health; social; human; political; change; environmental; behavior
